Symptom,Symbol,Category_cl,EntrezID
C0022541,SDHD,protein,6392
C0022541,COQ8A,protein,56997
C0022541,KIF21A,protein,55605
C0022541,SDHAF1,protein,644096
C0022541,TUBB3,protein,10381
C0022541,SLC25A4,protein,291
C0022541,PHOX2A,protein,401
C0022541,ATP8,protein,4509
C0022541,AFG3L2,protein,10939
C0022541,POLG,protein,5428
C0022541,SDHA,protein,6389
C0022541,MAG,protein,4099
C0022541,TYMP,protein,1890
C0022541,IL1A,protein,3552
C0022541,NPTX2,protein,4885
C0022541,RRM2B,protein,50484
C0022541,IL1B,protein,3553
C0022541,ATXN7,protein,6314
C0022541,TWNK,protein,56652
C0022541,SACS,protein,26278
C0022541,COX5A,protein,9377
C0023530,WAS,protein,7454
C0023530,DPYD,protein,1806
C0023530,CSF3,protein,1440
C0023530,USB1,protein,79650
C0023530,FCGR3A,protein,2214
C0023530,TAZ,protein,6901
C0023530,THPO,protein,7066
C0023530,CSF3R,protein,1441
C0023530,CSF2,protein,1437
C0023530,JAGN1,protein,84522
C0023530,VPS45,protein,11311
C0023530,G6PC3,protein,92579
C0023530,FCGR3B,protein,2215
C0023530,EPO,protein,2056
C0023530,CXCR4,protein,7852
C0023530,HAX1,protein,10456
C0023530,KITLG,protein,4254
C0023530,TOP1,protein,7150
C0023530,CLPB,protein,81570
C0023530,UGT1A1,protein,54658
C0023530,FASLG,protein,356
C0023530,SLC37A4,protein,2542
C0023530,ELANE,protein,1991
C0023530,CD177,protein,57126
C0023530,VPS13B,protein,157680
C0023530,GFI1,protein,2672
C0023530,IL3,protein,3562
C0002103,HRH1,protein,3269
C0002103,IL5,protein,3567
C0002103,IGHE,protein,3497
C0002103,ALOX5,protein,240
C0002103,IL13,protein,3596
C0002103,RNASE3,protein,6037
C0002103,SDAD1,protein,55153
C0002103,HAVCR1,protein,26762
C0002103,IL4,protein,3565
C0002103,VIP,protein,7432
C0002103,EPX,protein,8288
C0002103,ICAM1,protein,3383
C0002103,IFNG,protein,3458
C0002103,MS4A2,protein,2206
C0002103,VCAM1,protein,7412
C0002103,NGF,protein,4803
C0002103,KNG1,protein,3827
C0002103,IL18,protein,3606
C0002103,CCL11,protein,6356
C0002103,IL4R,protein,3566
C0002103,FOXJ1,protein,2302
C0002103,CXCL8,protein,3576
C0002103,IL10,protein,3586
C0002103,MPO,protein,4353
C0035455,HRH1,protein,3269
C0035455,NPY,protein,4852
C0035455,IL5,protein,3567
C0035455,IGHE,protein,3497
C0035455,NR3C1,protein,2908
C0035455,SCGB1A1,protein,7356
C0035455,IL13,protein,3596
C0035455,RNASE3,protein,6037
C0035455,TLR9,protein,54106
C0035455,POMC,protein,5443
C0035455,SDAD1,protein,55153
C0035455,IL4,protein,3565
C0035455,VIP,protein,7432
C0035455,CCL5,protein,6352
C0035455,EPX,protein,8288
C0035455,ICAM1,protein,3383
C0035455,TRPV1,protein,7442
C0035455,VCAM1,protein,7412
C0035455,NGF,protein,4803
C0035455,KNG1,protein,3827
C0035455,CYSLTR1,protein,10800
C0035455,CCL11,protein,6356
C0035455,IL4R,protein,3566
C0035455,FOXJ1,protein,2302
C0035455,CXCL8,protein,3576
C0009806,DDOST,protein,1650
C0009806,PIK3CA,protein,5290
C0009806,FLII,protein,2314
C0009806,FLI1,protein,2313
C0009806,NALCN,protein,259232
C0009806,CACNA1S,protein,779
C0009806,AQP3,protein,360
C0009806,POMC,protein,5443
C0009806,PRNP,protein,5621
C0009806,SDHC,protein,6391
C0009806,MALT1,protein,10892
C0009806,MLH1,protein,4292
C0009806,FOXP1,protein,27086
C0009806,NKX2-5,protein,1482
C0009806,HNRNPK,protein,3190
C0009806,VIP,protein,7432
C0009806,SLC6A3,protein,6531
C0009806,SOX10,protein,6663
C0009806,MEFV,protein,4210
C0009806,SCNN1G,protein,6340
C0009806,CDKL5,protein,6792
C0009806,SDHA,protein,6389
C0009806,MSH6,protein,2956
C0009806,MED12,protein,9968
C0009806,BIRC3,protein,330
C0009806,SEC24C,protein,9632
C0009806,IGH,protein,3492
C0009806,MLXIPL,protein,51085
C0009806,MAGEL2,protein,54551
C0009806,PMS1,protein,5378
C0009806,BDNF,protein,627
C0009806,DUOX2,protein,50506
C0009806,SLC12A1,protein,6557
C0009806,TAC1,protein,6863
C0009806,CASR,protein,846
C0009806,POU1F1,protein,5449
C0009806,LHX3,protein,8022
C0009806,UBE3A,protein,7337
C0009806,CCK,protein,885
C0009806,TBX1,protein,6899
C0009806,COL7A1,protein,1294
C0009806,OPRM1,protein,4988
C0009806,RAI1,protein,10743
C0009806,CALCA,protein,796
C0009806,KIT,protein,3815
C0009806,KCNAB2,protein,8514
C0009806,TCF4,protein,6925
C0009806,SCN10A,protein,6336
C0009806,GABRA3,protein,2556
C0009806,SALL1,protein,6299
C0009806,KRAS,protein,3845
C0009806,TBL2,protein,26608
C0009806,IGHMBP2,protein,3508
C0009806,SDHB,protein,6390
C0009806,SST,protein,6750
C0009806,CHRM3,protein,1131
C0009806,PYY,protein,5697
C0009806,PPOX,protein,5498
C0009806,PMS2,protein,5395
C0009806,PHOX2B,protein,8929
C0009806,THRB,protein,7068
C0009806,SMPD1,protein,6609
C0009806,ATRX,protein,546
C0009806,TACR1,protein,6869
C0009806,HTR3A,protein,3359
C0009806,SCN9A,protein,6335
C0009806,TRHR,protein,7201
C0009806,AVPR2,protein,554
C0009806,ASCL1,protein,429
C0009806,KCNJ1,protein,3758
C0009806,SIX3,protein,6496
C0009806,LMNB1,protein,4001
C0009806,GTF2I,protein,2969
C0009806,FOXG1,protein,2290
C0009806,NRTN,protein,4902
C0009806,RREB1,protein,6239
C0009806,MLNR,protein,2862
C0009806,GCG,protein,2641
C0009806,SRCAP,protein,10847
C0009806,FAN1,protein,22909
C0009806,NTS,protein,4922
C0009806,ALAD,protein,210
C0009806,MLN,protein,4295
C0009806,TGFBR2,protein,7048
C0009806,AQP2,protein,359
C0009806,ELN,protein,2006
C0009806,TNXB,protein,7148
C0009806,GAST,protein,2520
C0009806,PROP1,protein,5626
C0009806,SCNN1B,protein,6338
C0009806,MSH2,protein,4436
C0009806,POLG,protein,5428
C0009806,GTF2IRD1,protein,9569
C0009806,MMP1,protein,4312
C0009806,EPCAM,protein,4072
C0009806,DHCR7,protein,1717
C0009806,TYMP,protein,1890
C0009806,SLC6A8,protein,6535
C0009806,NR4A2,protein,4929
C0009806,DDC,protein,1644
C0009806,FGF19,protein,9965
C0009806,PON1,protein,5444
C0009806,MLH3,protein,27030
C0009806,TG,protein,7038
C0009806,HMBS,protein,3145
C0009806,EDNRB,protein,1910
C0009806,TTR,protein,7276
C0009806,TSHB,protein,7252
C0009806,MECP2,protein,4204
C0009806,SEMA3C,protein,10512
C0009806,EP300,protein,2033
C0009806,LRIG2,protein,9860
C0009806,PDGFRA,protein,5156
C0009806,OCRL,protein,4952
C0009806,BCL10,protein,8915
C0009806,BRCA1,protein,672
C0009806,ARVCF,protein,421
C0009806,TRH,protein,7200
C0009806,PAX8,protein,7849
C0009806,HTR4,protein,3360
C0009806,PCCA,protein,5095
C0009806,NRXN1,protein,9378
C0009806,NPY,protein,4852
C0009806,THRA,protein,7067
C0009806,HIRA,protein,7290
C0009806,PCCB,protein,5096
C0009806,BAZ1B,protein,9031
C0009806,GP1BB,protein,2812
C0009806,RFC2,protein,5982
C0009806,ECE1,protein,1889
C0009806,DES,protein,1674
C0009806,RET,protein,5979
C0009806,EXT2,protein,2132
C0009806,LIMK1,protein,3984
C0009806,BRAF,protein,673
C0009806,FLNA,protein,2316
C0009806,SCN11A,protein,11280
C0009806,COMT,protein,1312
C0009806,RERE,protein,473
C0009806,CTNS,protein,1497
C0009806,SKI,protein,6497
C0009806,SLC5A5,protein,6528
C0009806,HESX1,protein,8820
C0009806,GABRD,protein,2563
C0009806,CHAT,protein,1103
C0009806,CREBBP,protein,1387
C0009806,EDN3,protein,1908
C0009806,SLC6A4,protein,6532
C0009806,CLIP2,protein,7461
C0009806,SNCAIP,protein,9627
C0009806,ALPL,protein,249
C0009806,TSHR,protein,7253
C0009806,CLCN2,protein,1181
C0009806,TNFRSF1A,protein,7132
C0009806,CPOX,protein,1371
C0009806,GDNF,protein,2668
C0011991,BLM,protein,641
C0011991,IGLL1,protein,3543
C0011991,OPLAH,protein,26873
C0011991,CDKN2B,protein,1030
C0011991,SLC26A3,protein,1811
C0011991,AP1S1,protein,1174
C0011991,TCN2,protein,6948
