SID,Symbol,Category_cl,EntrezID
S02,STAT4,protein,6775
S02,TTR,protein,7276
S02,PRNP,protein,5621
S02,TSC1,protein,7248
S02,IL10,protein,3586
S02,CCR1,protein,1230
S02,HLA-B,protein,3106
S02,TREX1,protein,11277
S02,PNPLA8,protein,50640
S02,ATP1A3,protein,478
S02,SHH,protein,6469
S02,TPP2,protein,7174
S02,ERAP1,protein,51752
S02,SIX3,protein,6496
S02,SLC1A3,protein,6507
S02,COL4A1,protein,1282
S02,EMX2,protein,2018
S02,IL12A,protein,3592
S02,GBE1,protein,2632
S02,ADA2,protein,51816
S02,FAS,protein,355
S02,SCN1A,protein,6323
S02,MEFV,protein,4210
S02,KLRC4,protein,8302
S02,CACNA1A,protein,773
S02,ATP1A2,protein,477
S02,TLR4,protein,7099
S02,C4A,protein,720
S02,PRF1,protein,5551
S02,NOTCH3,protein,4854
S02,POLA1,protein,5422
S02,SUOX,protein,6821
S02,COL4A2,protein,1284
S02,CGA,protein,1081
S02,POLG,protein,5428
S02,AFG3L2,protein,10939
S02,EDNRB,protein,1910
S02,SLC25A15,protein,10166
S02,WDR45,protein,11152
S02,TECPR2,protein,9895
S02,MTPAP,protein,55149
S02,SOX10,protein,6663
S02,GJA1,protein,2697
S02,PLP1,protein,5354
S02,SPG21,protein,51324
S02,AIMP1,protein,9255
S02,TTC19,protein,54902
S02,MAG,protein,4099
S02,PLAT,protein,5327
S02,BCHE,protein,590
S06,NRTN,protein,4902
S06,MALT1,protein,10892
S06,SIX3,protein,6496
S06,PDGFRA,protein,5156
S06,MSH6,protein,2956
S06,RET,protein,5979
S06,CCK,protein,885
S06,SCNN1G,protein,6340
S06,MEFV,protein,4210
S06,TSHR,protein,7253
S06,TNXB,protein,7148
S06,GTF2I,protein,2969
S06,TCF4,protein,6925
S06,PMS1,protein,5378
S06,PMS2,protein,5395
S06,DUOX2,protein,50506
S06,OCRL,protein,4952
S06,EXT2,protein,2132
S06,PCCA,protein,5095
S06,CLCN2,protein,1181
S06,TRHR,protein,7201
S06,GPBAR1,protein,151306
S06,DHCR7,protein,1717
S06,MAGEL2,protein,54551
S06,FGF19,protein,9965
S06,FAN1,protein,22909
S06,SMPD1,protein,6609
S06,RERE,protein,473
S06,SEMA3C,protein,10512
S06,EPCAM,protein,4072
S06,BCL10,protein,8915
S06,FLII,protein,2314
S06,RFC2,protein,5982
S06,MLNR,protein,2862
S06,POMC,protein,5443
S06,GTF2IRD1,protein,9569
S06,GAST,protein,2520
S06,GP1BB,protein,2812
S06,TRH,protein,7200
S06,GABRA3,protein,2556
S06,PHOX2B,protein,8929
S06,IGHMBP2,protein,3508
S06,PRNP,protein,5621
S06,SCN9A,protein,6335
S06,CALCA,protein,796
S06,TBX1,protein,6899
S06,ECE1,protein,1889
S06,SDHC,protein,6391
S06,GCG,protein,2641
S06,ALAD,protein,210
S06,TNFRSF1A,protein,7132
S06,RAI1,protein,10743
S06,TYMP,protein,1890
S06,SCNN1B,protein,6338
S06,CDKL5,protein,6792
S06,PIK3CA,protein,5290
S06,MLXIPL,protein,51085
S06,MLN,protein,4295
S06,TACR1,protein,6869
S06,PON1,protein,5444
S06,FOXG1,protein,2290
S06,FLNA,protein,2316
S06,PYY,protein,5697
S06,HTR4,protein,3360
S06,LHX3,protein,8022
S06,CPOX,protein,1371
S06,HIRA,protein,7290
S06,CTNS,protein,1497
S06,SCN10A,protein,6336
S06,SLC26A4,protein,5172
S06,BIRC3,protein,330
S06,NR4A2,protein,4929
S06,RREB1,protein,6239
S06,THRA,protein,7067
S06,HNRNPK,protein,3190
S06,PPOX,protein,5498
S06,KCNAB2,protein,8514
S06,DDOST,protein,1650
S06,HTR3A,protein,3359
S06,SLC5A5,protein,6528
S06,DES,protein,1674
S06,AVPR2,protein,554
S06,VIP,protein,7432
S06,LMNB1,protein,4001
S06,MSH2,protein,4436
S06,COMT,protein,1312
S06,TSHB,protein,7252
S06,PROP1,protein,5626
S06,SDHB,protein,6390
S06,POLG,protein,5428
S06,PCCB,protein,5096
S06,MED12,protein,9968
S06,KRAS,protein,3845
S06,MLH3,protein,27030
S06,SLC6A3,protein,6531
S06,UBE3A,protein,7337
S06,TG,protein,7038
S06,CHAT,protein,1103
S06,BRCA1,protein,672
S06,ALPL,protein,249
S06,SST,protein,6750
S06,THRB,protein,7068
S06,AQP3,protein,360
S06,GDNF,protein,2668
S06,SLC6A4,protein,6532
S06,PAX8,protein,7849
S06,LRIG2,protein,9860
S06,MMP1,protein,4312
S06,ASCL1,protein,429
S06,ARVCF,protein,421
S06,NALCN,protein,259232
S06,KIT,protein,3815
S06,TBL2,protein,26608
S06,SEC24C,protein,9632
S06,EDNRB,protein,1910
S06,DDC,protein,1644
S06,ATRX,protein,546
S06,COL7A1,protein,1294
S06,SALL1,protein,6299
S06,IGH,protein,3492
S06,BAZ1B,protein,9031
S06,LIMK1,protein,3984
S06,POU1F1,protein,5449
S06,SOX10,protein,6663
S06,CHRM3,protein,1131
S06,SDHA,protein,6389
S06,CASR,protein,846
S06,HMBS,protein,3145
S06,SNCAIP,protein,9627
S06,SRCAP,protein,10847
S06,FOXP1,protein,27086
S06,CACNA1S,protein,779
S06,KCNJ1,protein,3758
S06,SLC12A1,protein,6557
S06,HESX1,protein,8820
S06,FLI1,protein,2313
S06,TPO,protein,7173
S06,NRXN1,protein,9378
S06,GABRD,protein,2563
S06,MLH1,protein,4292
S06,SCN11A,protein,11280
S06,TGFBR2,protein,7048
S06,TAC1,protein,6863
S06,NTS,protein,4922
S06,EP300,protein,2033
S06,EDN3,protein,1908
S06,BRAF,protein,673
S06,NKX2-5,protein,1482
S06,CLIP2,protein,7461
S06,BDNF,protein,627
S06,ELN,protein,2006
S06,MECP2,protein,4204
S06,AQP2,protein,359
S06,OPRM1,protein,4988
S06,CREBBP,protein,1387
S06,SKI,protein,6497
S06,TTR,protein,7276
S06,SLC6A8,protein,6535
S06,NPY,protein,4852
S06,B2M,protein,567
S06,MNX1,protein,3110
S06,SH2B1,protein,25970
S06,MLYCD,protein,23417
S07,AKR1D1,protein,6718
S07,ABCB4,protein,5244
S07,MLYCD,protein,23417
S07,ABCB11,protein,8647
S07,CYP7B1,protein,9420
S07,NBN,protein,4683
S07,ADA,protein,100
S07,DNMT3B,protein,1789
S07,SLC26A3,protein,1811
S07,PHKB,protein,5257
S07,TNFRSF1A,protein,7132
S07,RAG2,protein,5897
S07,UCP2,protein,7351
S07,ZAP70,protein,7535
S07,AGA,protein,175
S07,HNF1A,protein,6927
S07,SCNN1G,protein,6340
S07,CD3D,protein,915
S07,TTR,protein,7276
S07,SLC9A3,protein,6550
S07,IKZF1,protein,10320
S07,TSHR,protein,7253
S07,ALAD,protein,210
S07,MPV17,protein,4358
S07,BTK,protein,695
S07,NR3C2,protein,4306
S07,RECQL4,protein,9401
S07,IFNA2,protein,3440
S07,MEN1,protein,4221
S07,CYP27A1,protein,1593
S07,CPT1A,protein,1374
S07,AVP,protein,551
S07,LCT,protein,3938
S07,HLA-B,protein,3106
S07,PTPRC,protein,5788
S07,SAR1B,protein,51128
S07,SI,protein,6476
S07,CD14,protein,929
S07,CR2,protein,1380
S07,GALT,protein,2592
S07,SLC7A7,protein,9056
S07,LCK,protein,3932
S07,AP1S1,protein,1174
S07,SCNN1B,protein,6338
S07,CTLA4,protein,1493
S07,ABCC8,protein,6833
S07,FOXP3,protein,50943
S07,KCNJ1,protein,3758
S07,STAT1,protein,6772
S07,LIPA,protein,3988
S07,KCNJ11,protein,3767
S07,IDS,protein,3423
S07,PIGT,protein,51604
S07,CSF3,protein,1440
S07,JAK3,protein,3718
S07,CD19,protein,930
S07,CDKN2B,protein,1030
S07,SCN9A,protein,6335
S07,CPOX,protein,1371
S07,BLNK,protein,29760
S07,RAG1,protein,5896
S07,NCF4,protein,4689
S07,TNFRSF13B,protein,23495
S07,CD40LG,protein,959
S07,CD79B,protein,974
S07,CDKN1A,protein,1026
S07,NEUROG3,protein,50674
S07,TCF3,protein,6929
S07,MCM6,protein,4175
S07,ICOS,protein,29851
S07,NAGLU,protein,4669
S07,GNS,protein,2799
S07,SERPING1,protein,710
S07,BTD,protein,686
S07,SGSH,protein,6448
S07,PIK3R1,protein,5295
S07,MPI,protein,4351
S07,SLC39A4,protein,55630
