herb	symptom	label
U101	C0000737	1
U101	C0013491	1
U1010	C0011991	1
U1010	C0000737	1
U1010	C0917816	1
U1010	C0013604	1
U1010	C0020796	1
U1012	C0009421	1
U1012	C0010200	1
U119	C0000737	1
U119	C0030193	1
U119	C0020429	1
U12	C0021359	1
U12	C0000737	1
U12	C0030193	1
U12	C0020429	1
U120	C0015967	1
U120	C0000737	1
U120	C0030193	1
U120	C0020429	1
U120	C0018681	1
U120	C0008031	1
U120	C0013491	1
U120	C0042571	1
U124	C0019214	1
U124	C0010200	1
U124	C0030193	1
U124	C0020429	1
U10	C0009806	1
U10	C0237326	1
U102	C0011991	1
U102	C0010200	1
U102	C0013604	1
U102	C0030193	1
U102	C0020429	1
U195	C0011991	1
U195	C0036572	1
U195	C0000737	1
U195	C0042963	1
U195	C0030193	1
U195	C0020429	1
U196	C0023380	1
U196	C0030193	1
U196	C0020429	1
U196	C0018681	1
U196	C0013491	1
U104	C0042963	1
U104	C0030193	1
U104	C0020429	1
U104	C0008031	1
U104	C0023015	1
U104	C0039070	1
U106	C0011991	1
U106	C0010200	1
U106	C0042963	1
U211	C0009806	1
U211	C0000737	1
U211	C0237326	1
U211	C0013604	1
U211	C0030193	1
U211	C0020429	1
U212	C0011991	1
U214	C0009806	1
U214	C0237326	1
U214	C0033774	1
U214	C0030193	1
U214	C0020429	1
U214	C0018681	1
U296	C0030193	1
U296	C0020429	1
U297	C0000737	1
U297	C0030193	1
U297	C0020429	1
U230	C0011991	1
U230	C0700590	1
U230	C0015967	1
U230	C0237326	1
U230	C0013604	1
U230	C0086132	1
U13	C0030193	1
U13	C0020429	1
U135	C0851578	1
U135	C0030193	1
U135	C0020429	1
U135	C0032617	1
U135	C0020505	1
U143	C0018681	1
U146	C0015967	1
U146	C0010200	1
U146	C0022346	1
U146	C0015230	1
U146	C0032285	1
U146	C0030193	1
U146	C0020429	1
U146	C0018681	1
U146	C0039070	1
U147	C0011991	1
U147	C0013404	1
U147	C0010200	1
U148	C0000737	1
U148	C0030193	1
U148	C0020429	1
U4	C0010200	1
U4	C0022346	1
U4	C0030193	1
U4	C0020429	1
U40	C0022346	1
U40	C0013595	1
U403	C0237326	1
U403	C0022346	1
U1031	C0009806	1
U1031	C0010200	1
U1031	C0237326	1
U1033	C0010200	1
U1033	C0237326	1
U164	C0010200	1
U164	C0042963	1
U164	C0032285	1
U164	C0003123	1
U164	C0042571	1
U165	C0000737	1
U165	C0042963	1
U168	C0237326	1
U168	C0030193	1
U168	C0020429	1
U169	C0000737	1
U169	C0030193	1
U169	C0020429	1
U17	C0030193	1
U17	C0020429	1
U17	C0018681	1
U17	C0039070	1
U170	C0042963	1
U170	C0022346	1
U171	C0231835	1
U171	C0009421	1
U171	C0030193	1
U171	C0020429	1
U171	C0039070	1
U172	C0033774	1
U172	C0013595	1
U172	C0030193	1
U172	C0020429	1
U173	C0010200	1
U173	C0032285	1
U180	C0030193	1
U180	C0020429	1
U183	C0018989	1
U183	C0030193	1
U183	C0020429	1
U185	C0011991	1
U185	C0000737	1
U185	C0042963	1
U185	C0030193	1
U185	C0020429	1
U244	C0010200	1
U244	C0030193	1
U244	C0020429	1
U247	C0231835	1
U247	C0042963	1
U247	C0030193	1
U247	C0020429	1
U248	C0010200	1
U248	C0013604	1
U248	C0039070	1
U286	C0000737	1
U286	C0003862	1
U286	C0013604	1
U286	C0030193	1
U286	C0020429	1
U24	C0000737	1
U24	C0010200	1
U24	C0030193	1
U24	C0020429	1
U240	C0033774	1
U240	C0013604	1
U242	C0011991	1
U242	C0036572	1
U242	C0042963	1
U242	C0013604	1
U242	C0030193	1
U242	C0020429	1
U242	C0018681	1
U242	C0008031	1
U242	C0039070	1
U243	C0019214	1
U243	C0042798	1
U216	C0013595	1
U216	C0013604	1
U216	C0030193	1
U216	C0020429	1
U232	C0000737	1
U232	C0003862	1
U232	C0085636	1
U234	C0000737	1
U234	C0010200	1
U234	C0042963	1
U234	C0022346	1
U234	C0030193	1
U234	C0020429	1
U236	C0011991	1
U236	C0000737	1
U236	C0013604	1
U236	C0030193	1
U236	C0020429	1
U188	C0000737	1
U188	C0010200	1
U188	C0030193	1
U188	C0020429	1
U189	C0013604	1
U19	C0010200	1
U190	C0152031	1
U190	C0231835	1
U190	C0018681	1
U160	C0851578	1
U160	C0030193	1
U160	C0020429	1
U160	C0018681	1
U160	C0013491	1
U162	C0009806	1
U162	C0000737	1
U162	C0237326	1
U162	C0030193	1
U162	C0020429	1
U162	C0012833	1
U162	C0042571	1
U488	C0011991	1
U488	C0013604	1
U488	C0030193	1
U488	C0020429	1
U496	C0036572	1
U321	C0018681	1
U340	C0030193	1
U340	C0020429	1
U346	C0030193	1
U346	C0020429	1
U346	C0012833	1
U205	C0003537	1
U205	C0030193	1
U205	C0020429	1
U205	C0008031	1
U205	C0973461	1
U206	C0010200	1
U206	C0030193	1
U206	C0020429	1
U206	C0018681	1
U207	C0010200	1
U207	C0032285	1
U207	C0013595	1
U207	C0030193	1
U207	C0020429	1
U335	C0009806	1
U335	C0011991	1
U335	C0003862	1
U335	C0231835	1
U335	C0010200	1
U335	C0237326	1
U338	C0011991	1
U338	C0022346	1
U338	C0030193	1
U338	C0020429	1
U339	C0011991	1
U339	C0000737	1
U339	C0042963	1
U339	C0030193	1
U339	C0020429	1
U34	C0010200	1
U34	C0008031	1
U340	C0000737	1
U460	C0000737	1
U460	C0013604	1
U460	C0030193	1
U460	C0020429	1
U462	C0011991	1
U462	C0000737	1
U462	C0042963	1
U462	C0030193	1
U462	C0020429	1
U463	C0009806	1
U463	C0011991	1
U463	C0010200	1
U463	C0237326	1
U463	C0030193	1
U463	C0020429	1
U268	C0030193	1
U268	C0020429	1
U268	C0012833	1
U268	C0042571	1
U269	C0085636	1
U269	C0030193	1
U269	C0020429	1
U269	C0018681	1
U271	C0030193	1
U271	C0020429	1
U273	C0015967	1
U273	C0010200	1
U273	C0022346	1
U273	C0030193	1
U273	C0020429	1
U274	C0009806	1
U274	C0010200	1
U274	C0237326	1
U274	C0032285	1
U274	C0030193	1
U274	C0020429	1
U274	C0008031	1
U140	C0237326	1
U140	C0013604	1
U141	C0009806	1
U141	C0011991	1
U141	C0000737	1
U141	C0237326	1
U141	C0022346	1
U141	C0013604	1
U141	C0030193	1
U141	C0020429	1
U141	C0018681	1
U142	C0010200	1
U142	C0013604	1
U313	C0030193	1
U313	C0020429	1
U314	C0015967	1
U314	C0013604	1
U314	C0030193	1
U314	C0020429	1
U314	C0012833	1
U319	C0009806	1
U319	C0237326	1
U319	C0012833	1
U319	C0042571	1
U108	C0000737	1
U108	C0030193	1
U108	C0020429	1
U110	C0036572	1
U110	C0000737	1
U110	C0022346	1
U110	C0013604	1
