node	type
U5	drug
U380	drug
U529	drug
U382	drug
U35	drug
U381	drug
U392	drug
U383	drug
U384	drug
U393	drug
U386	drug
U46	drug
U391	drug
U390	drug
U387	drug
U388	drug
U36	drug
U394	drug
U395	drug
U716	drug
U396	drug
U372	drug
U397	drug
U399	drug
U401	drug
U403	drug
U767	drug
U439	drug
U404	drug
U38	drug
U24	drug
U406	drug
U408	drug
U411	drug
U13	drug
U39	drug
U409	drug
U410	drug
U412	drug
U414	drug
U416	drug
U417	drug
U418	drug
U419	drug
U40	drug
U453	drug
U420	drug
U421	drug
U422	drug
U423	drug
U425	drug
U142	drug
U93	drug
U430	drug
U431	drug
U432	drug
U669	drug
U438	drug
U437	drug
U370	drug
U434	drug
U435	drug
U697	drug
U267	drug
U442	drug
U443	drug
U43	drug
U106	drug
U440	drug
U268	drug
U446	drug
U448	drug
U447	drug
U37	drug
U169	drug
U452	drug
U47	drug
U454	drug
U455	drug
U456	drug
U451	drug
U892	drug
U52	drug
U457	drug
U459	drug
U889	drug
U460	drug
U461	drug
U462	drug
U53	drug
U560	drug
U463	drug
U465	drug
U467	drug
U468	drug
U470	drug
U50	drug
U473	drug
U474	drug
U477	drug
U475	drug
U476	drug
U479	drug
U480	drug
U258	drug
U687	drug
U51	drug
U146	drug
U469	drug
U88	drug
U487	drug
U483	drug
U821	drug
U486	drug
U484	drug
U54	drug
U488	drug
U489	drug
U492	drug
U491	drug
U495	drug
U496	drug
U55	drug
U497	drug
U498	drug
U501	drug
U502	drug
U503	drug
U515	drug
U517	drug
U504	drug
U505	drug
U508	drug
U509	drug
U510	drug
U516	drug
U511	drug
U513	drug
U506	drug
U518	drug
U519	drug
U522	drug
U523	drug
U57	drug
U526	drug
U524	drug
U48	drug
U999	drug
U530	drug
U76	drug
U532	drug
U533	drug
U527	drug
U58	drug
U528	drug
U534	drug
U536	drug
U304	drug
U537	drug
U306	drug
U538	drug
U543	drug
U544	drug
U545	drug
U539	drug
U540	drug
U541	drug
U542	drug
U546	drug
U547	drug
U548	drug
U551	drug
U552	drug
U554	drug
U553	drug
U481	drug
U555	drug
U710	drug
U559	drug
U59	drug
