symptom1,symptom2,Similarity
C0022541,C0035078,0.725
C0022541,C1963154,0.728
C0022541,C0019825,0.749
C0022541,C0456909,0.724
C0022541,C0003635,0.738
C0022541,C0013595,0.764
C0022541,C0042798,0.721
C0022541,C0023380,0.75
C0022541,C0234144,0.758
C0022541,C0013604,0.738
C0022541,C0037315,0.746
C0022541,C0037317,0.746
C0022541,C0851578,0.741
C0022541,C0241210,0.703
C0022541,C0020305,0.695
C0022541,C0398650,0.739
C0022541,C1262477,0.733
C0022541,C0043094,0.728
C0022541,C1384666,0.707
C0022541,C1691779,0.732
C0022541,C0030193,0.728
C0022541,C0020429,0.742
C0022541,C1860844,0.73
C0022541,C0018681,0.743
C0022541,C0012833,0.748
C0022541,C0206160,0.731
C0022541,C0033377,0.789
C0022541,C4020887,0.731
C0022541,C0018834,0.732
C0022541,C0008489,0.699
C0022541,C0006271,0.746
C0022541,C0030486,0.741
C0022541,C1836296,0.756
C0022541,C0032617,0.717
C0022541,C0042024,0.751
C0022541,C0007758,0.714
C0022541,C0014118,0.758
C0022541,C0008031,0.743
C0022541,C2364082,0.739
C0022541,C0003126,0.743
C0022541,C0023186,0.758
C0022541,C0751265,0.75
C0022541,C0042384,0.762
C0022541,C0040034,0.748
C0022541,C0231712,0.742
C0022541,C0021368,0.773
C0022541,C0030232,0.744
C0022541,C0029089,0.798
C0022541,C0005745,0.789
C0022541,C0003123,0.761
C0022541,C0271097,0.689
C0022541,C2931205,0.689
C0022541,C1568248,0.689
C0022541,C1568249,0.723
C0022541,C0699731,0.703
C0022541,C0086132,0.726
C0022541,C0020505,0.754
C0022541,C0013491,0.736
C0022541,C0023012,0.703
C0022541,C0023015,0.741
C0022541,C0973461,0.745
C0022541,C0233565,0.749
C0022541,C0039070,0.711
C0022541,C0040822,0.72
C0022541,C0234376,0.729
C0022541,C0003578,0.724
C0022541,C3714756,0.671
C0022541,C0020796,0.751
C0022541,C0018776,0.735
C0022541,C0042571,0.748
C0022541,C0234133,0.765
C0022541,C0234132,0.744
C0022541,C0234378,0.716
C0022541,S02,0.761
C0022541,S06,0.714
C0022541,S07,0.726
C0022541,S08,0.74
C0022541,S102,0.73
C0022541,S103,0.703
C0022541,S104,0.761
C0022541,S106,0.724
C0022541,S109,0.721
C0022541,S111,0.756
C0022541,S112,0.715
C0022541,S114,0.706
C0022541,S115,1.0
C0022541,S116,0.759
C0022541,S119,0.687
C0022541,S120,0.751
C0022541,S121,0.758
C0022541,S125,0.73
C0022541,S128,0.769
C0022541,S137,0.755
C0022541,S138,0.731
C0022541,S14,0.748
C0022541,S142,0.725
C0022541,S144,0.731
C0022541,S145,0.748
C0022541,S147,0.725
C0022541,S148,0.756
C0022541,S15,0.717
C0022541,S150,0.714
C0022541,S155,0.721
C0022541,S158,0.733
C0022541,S159,0.724
C0022541,S161,0.684
C0022541,S162,0.747
C0022541,S163,0.748
C0022541,S169,0.76
C0022541,S17,0.726
C0022541,S170,0.732
C0022541,S172,0.733
C0022541,S177,0.712
C0022541,S182,0.749
C0022541,S183,0.728
C0022541,S185,0.724
C0022541,S189,0.747
C0022541,S190,0.749
C0022541,S192,0.719
C0022541,S20,0.735
C0022541,S200,0.77
C0022541,S21,0.718
C0022541,S213,0.726
C0022541,S214,0.743
C0022541,S215,0.72
C0022541,S216,0.726
C0022541,S217,0.72
C0022541,S22,0.736
C0022541,S221,0.723
C0022541,S234,0.745
C0022541,S244,0.744
C0022541,S246,0.674
C0022541,S25,0.734
C0022541,S252,0.75
C0022541,S260,0.723
C0022541,S27,0.732
C0022541,S273,0.859
C0022541,S279,0.759
C0022541,S282,0.737
C0022541,S286,0.723
C0022541,S291,0.736
C0022541,S294,0.719
C0022541,S297,0.74
C0022541,S299,0.723
C0022541,S30,0.733
C0022541,S300,0.731
C0022541,S306,0.735
C0022541,S309,0.703
C0022541,S313,0.751
C0022541,S314,0.731
C0022541,S318,0.773
C0022541,S321,0.739
C0022541,S325,0.725
C0022541,S327,0.695
C0022541,S33,0.75
C0022541,S330,0.75
C0022541,S333,0.738
C0022541,S334,0.729
C0022541,S335,0.739
C0022541,S343,0.737
C0022541,S345,0.742
C0022541,S346,0.733
C0022541,S349,0.725
C0022541,S350,0.728
C0022541,S355,0.724
C0022541,S358,0.75
C0022541,S359,0.738
C0022541,S360,0.764
