herb,中药,symptom,肝硬化症状,临床有效,临床出现,score
U95,柴胡,S398,痛觉过敏,0,0,122835
U374,黄芪,S25,浮肿,1,1,122809.5
U582,木通,S398,痛觉过敏,0,0,122748
U875,香橼,S48,咳嗽,0,0,122718
U141,大黄,S398,痛觉过敏,0,0,122718
U375,黄芩,S48,咳嗽,1,1,122718
U118,川楝子,S398,痛觉过敏,0,0,122687
U76,槟榔,S25,浮肿,0,1,122672.5
U597,牛黄,S87,头痛,0,0,122512.5
U106,陈皮,S25,浮肿,1,1,122512.5
U118,川楝子,S25,浮肿,1,1,122512.5
U372,黄连,S48,咳嗽,0,1,122504.5
U55,半枝莲,S25,浮肿,1,1,122499.5
U146,大青叶,S501,主观性眩晕,0,0,122432.5
U802,葶苈子,S25,浮肿,0,1,122432.5
U390,积雪草,S398,痛觉过敏,0,0,122432.5
U664,三白草,S25,浮肿,0,0,122432.5
U262,葛根,S25,浮肿,1,1,122432.5
U463,莱菔子,S48,咳嗽,1,1,122376
U463,莱菔子,S398,痛觉过敏,0,0,122376
U858,细辛,S398,痛觉过敏,0,0,122376
U650,人参,S48,咳嗽,0,1,122376
U146,大青叶,S25,浮肿,0,1,122376
U262,葛根,S87,头痛,0,1,122376
U102,车前草,S25,浮肿,1,1,122357.5
U713,升麻,S87,头痛,0,1,122328.5
U146,大青叶,S398,痛觉过敏,0,0,122328.5
U95,柴胡,S48,咳嗽,0,1,122328.5
U374,黄芪,S48,咳嗽,0,1,122328.5
U693,山药,S48,咳嗽,0,1,122328.5
U417,金荞麦,S48,咳嗽,0,1,122328.5
U351,花椒,S48,咳嗽,0,1,122328.5
U594,牛蒡子,S48,咳嗽,0,1,122328.5
U314,黑豆,S25,浮肿,0,0,122328.5
U102,车前草,S398,痛觉过敏,0,0,122328.5
U120,川芎,S88,头晕,1,1,122285
U447,决明子,S87,头痛,0,1,122283
U454,苦楝皮,S25,浮肿,0,0,122283
U959,鱼腥草,S48,咳嗽,0,1,122231.5
U534,马钱子,S07,便溏,0,0,122231.5
U442,橘核,S25,浮肿,0,0,122231.5
U325,红花,S25,浮肿,1,1,122231.5
U87,苍术,S48,咳嗽,0,1,122231.5
U274,瓜蒌,S48,咳嗽,0,1,122231.5
U417,金荞麦,S398,痛觉过敏,0,0,122231.5
U952,淫羊藿,S87,头痛,0,1,122231.5
U734,石韦,S25,浮肿,0,1,122231.5
U393,蒺藜,S501,主观性眩晕,0,0,122190.5
U607,藕,S398,痛觉过敏,0,0,122043
U999,枳实,S71,身黄,1,1,122043
U34,白前,S20,发热,0,1,122043
U559,玫瑰花,S25,浮肿,0,1,122043
U463,莱菔子,S71,身黄,0,1,122043
U76,槟榔,S87,头痛,0,0,122043
U440,菊花,S501,主观性眩晕,0,0,122043
U302,海藻,S48,咳嗽,0,1,122043
U748,水飞蓟,S87,头痛,0,0,122043
U999,枳实,S25,浮肿,1,1,122043
U544,蔓荆子,S48,咳嗽,0,0,122043
U214,防风,S25,浮肿,1,1,122043
U875,香橼,S27,腹痛,0,1,122043
U188,冬虫夏草,S48,咳嗽,0,0,122043
U141,大黄,S25,浮肿,0,1,122043
U160,淡豆豉,S25,浮肿,0,1,122043
U391,急性子,S25,浮肿,0,0,122043
U1033,紫菀,S48,咳嗽,0,1,122043
U484,灵芝,S48,咳嗽,0,1,122043
U140,大腹皮,S25,浮肿,1,1,122043
U349,虎杖,S398,痛觉过敏,0,0,122043
U999,枳实,S27,腹痛,1,1,122043
U370,黄精,S48,咳嗽,0,1,122043
U44,百部,S48,咳嗽,0,1,122043
U594,牛蒡子,S398,痛觉过敏,0,0,122043
U597,牛黄,S20,发热,0,1,122017.5
U162,当归,S501,主观性眩晕,0,0,122006
U530,马鞭草,S25,浮肿,0,1,121926
U795,甜瓜子,S48,咳嗽,0,0,121926
U892,杏仁,S48,咳嗽,1,1,121926
U319,黑芝麻,S501,主观性眩晕,0,0,121926
U779,桃仁,S25,浮肿,0,1,121926
U544,蔓荆子,S25,浮肿,0,1,121926
U262,葛根,S88,头晕,1,1,121926
U314,黑豆,S88,头晕,0,0,121926
U748,水飞蓟,S25,浮肿,0,0,121926
U164,党参,S48,咳嗽,0,1,121926
U54,半夏,S501,主观性眩晕,0,0,121926
U54,半夏,S398,痛觉过敏,0,0,121926
U147,大蒜,S48,咳嗽,0,0,121926
U189,冬瓜皮,S25,浮肿,0,1,121926
U948,茵陈,S25,浮肿,0,1,121536.5
U950,银柴胡,S25,浮肿,0,1,121536.5
U639,青果,S48,咳嗽,0,1,121536.5
U569,墨旱莲,S398,痛觉过敏,0,0,121536.5
U13,菝葜,S48,咳嗽,0,1,121536.5
U207,儿茶,S398,痛觉过敏,0,0,121536.5
U30,白茅根,S25,浮肿,0,1,121536.5
U998,枳壳,S398,痛觉过敏,0,0,121536.5
U408,金沸草,S25,浮肿,0,0,121536.5
U696,山楂叶,S48,咳嗽,0,0,121536.5
U95,柴胡,S07,便溏,0,1,121536.5
U214,防风,S06,便秘,0,1,121536.5
U87,苍术,S501,主观性眩晕,0,0,121536.5
U54,半夏,S48,咳嗽,1,1,121536.5
U142,大戟,S48,咳嗽,0,0,121536.5
U302,海藻,S25,浮肿,0,1,121536.5
U43,白芷,S87,头痛,0,1,121536.5
U612,枇杷叶,S07,便溏,0,1,121536.5
U447,决明子,S25,浮肿,1,1,121536.5
U793,天竺黄,S88,头晕,0,0,121536.5
U36,白芍,S25,浮肿,0,1,121536.5
U912,鸦胆子,S25,浮肿,0,0,121536.5
U550,猫爪草,S25,浮肿,0,0,121536.5
U173,地骨皮,S88,头晕,0,1,121536.5
U560,梅花,S88,头晕,0,0,121536.5
U630,茜草,S25,浮肿,1,1,121536.5
U260,藁本,S87,头痛,0,1,121536.5
U697,山茱萸,S398,痛觉过敏,0,0,121536.5
U582,木通,S25,浮肿,0,1,121536.5
U463,莱菔子,S25,浮肿,0,1,121536.5
U649,拳参,S25,浮肿,0,0,121536.5
U24,白芥子,S48,咳嗽,1,1,121536.5
U120,川芎,S27,腹痛,1,1,121536.5
U196,独活,S25,浮肿,0,1,121536.5
U594,牛蒡子,S25,浮肿,0,1,121536.5
U243,覆盆子,S25,浮肿,0,1,121536.5
U944,益智仁,S25,浮肿,1,1,121536.5
U607,藕,S87,头痛,0,0,121536.5
U884,小蓟,S48,咳嗽,0,1,121536.5
U736,柿蒂,S48,咳嗽,0,0,121536.5
U944,益智仁,S06,便秘,0,1,121536.5
