herb,symptom,label,score
U393,S21,1,0.0266
U36,S06,1,0.0356
U36,S08,1,0.0035
U36,S112,1,0.0128
U36,S20,1,0.1196
U36,S21,1,0.0128
U36,S27,1,0.1538
U36,S62,1,0.1196
U36,S87,1,0.1800
U36,S88,1,0.1196
U36,S95,1,0.0266
U439,S06,1,0.0266
U439,S112,1,0.0035
U439,S48,1,0.1111
U439,S71,1,0.0065
U24,S08,1,0.0035
U24,S25,1,0.0266
U24,S38,1,0.0128
U24,S48,1,0.1800
U52,S08,1,0.0003
U52,S21,1,0.0003
U52,S25,1,0.0128
U52,S38,1,0.0003
U459,S48,1,0.0266
U463,S08,1,0.0065
U463,S48,1,0.1538
U504,S08,1,0.0035
U504,S48,1,0.0266
U516,S21,1,0.0003
U516,S71,1,0.0003
U50,S08,1,0.0035
U50,S25,1,0.0356
U628,S08,1,0.0266
U628,S20,1,0.0488
U628,S21,1,0.0128
U628,S25,1,0.0128
U629,S21,1,0.0003
U629,S25,1,0.0128
U430,S08,1,0.0003
U430,S27,1,0.0128
U430,S65,1,0.0003
U430,S71,1,0.0000
U669,S08,1,0.0128
U669,S27,1,0.3333
U669,S48,1,0.1538
U669,S65,1,0.0128
U669,S88,1,0.0128
U5,S21,1,0.1196
U380,S08,1,0.0035
U380,S112,1,0.0266
U380,S21,1,0.0356
U380,S27,1,0.3750
U529,S06,1,0.1196
U529,S08,1,0.0000
U529,S27,1,0.1196
U382,S06,1,0.0356
U382,S08,1,0.0128
U382,S25,1,0.0356
U382,S27,1,0.1636
U382,S48,1,0.1196
U382,S65,1,0.0065
U382,S71,1,0.0356
U370,S08,1,0.0065
U370,S112,1,0.0128
U370,S21,1,0.0266
U370,S25,1,0.0356
U370,S71,1,0.0266
U697,S08,1,0.0035
U697,S112,1,0.0128
U697,S21,1,0.0065
U697,S27,1,0.1196
U697,S71,1,0.0356
U697,S88,1,0.0357
U443,S21,1,0.0128
U416,S112,1,0.0128
U416,S25,1,0.0035
U416,S27,1,0.1636
U40,S08,1,0.0003
U40,S21,1,0.0003
U40,S25,1,0.0266
U40,S27,1,0.0356
U40,S65,1,0.0003
U423,S08,1,0.0003
U423,S20,1,0.1538
U423,S21,1,0.0356
U423,S48,1,0.1196
U423,S65,1,0.0128
U423,S71,1,0.0266
U635,S21,1,0.0003
U640,S25,1,0.0003
U640,S71,1,0.0035
U639,S21,1,0.0128
U37,S07,1,0.1538
U37,S08,1,0.0000
U37,S17,1,0.1800
U37,S20,1,0.1538
U37,S21,1,0.0128
U37,S25,1,0.1196
U37,S27,1,0.0266
U37,S38,1,0.0128
U37,S62,1,0.0488
U37,S71,1,0.0356
U37,S88,1,0.0356
U37,S90,1,0.0356
U37,S95,1,0.0003
U169,S06,1,0.0128
U169,S08,1,0.0003
U169,S21,1,0.0003
U169,S25,1,0.0266
U169,S27,1,0.0356
U47,S08,1,0.0003
U47,S21,1,0.0266
U451,S71,1,0.0003
U892,S06,1,0.1196
U892,S08,1,0.0065
U892,S112,1,0.0128
U892,S25,1,0.0356
U892,S48,1,0.1800
U892,S88,1,0.0356
U484,S21,1,0.0003
U54,S112,1,0.0035
U54,S20,1,0.1196
U54,S21,1,0.0266
U54,S27,1,0.1196
U54,S38,1,0.0266
U54,S48,1,0.1636
U54,S71,1,0.0003
U54,S90,1,0.0003
U488,S25,1,0.0035
U496,S08,1,0.0003
U496,S71,1,0.0356
U55,S07,1,0.0356
U55,S25,1,0.0266
U55,S48,1,0.1538
U55,S71,1,0.0065
U716,S25,1,0.0356
U396,S08,1,0.0035
U396,S21,1,0.0035
U372,S112,1,0.0356
U372,S21,1,0.0356
U372,S25,1,0.0266
U372,S65,1,0.0128
U372,S71,1,0.0356
U372,S88,1,0.0426
U767,S38,1,0.0035
U711,S112,1,0.0266
U711,S21,1,0.0266
U174,S07,1,0.0128
U174,S17,1,0.0065
U174,S38,1,0.0035
U174,S71,1,0.0003
U174,S95,1,0.0003
U242,S08,1,0.0035
U242,S112,1,0.0035
U242,S48,1,0.1196
U242,S88,1,0.0065
U713,S08,1,0.0035
U713,S21,1,0.0128
U713,S25,1,0.0266
U205,S06,1,0.0128
U205,S21,1,0.0035
U205,S25,1,0.0128
U205,S71,1,0.0128
U612,S21,1,0.0003
U79,S08,1,0.0065
U79,S25,1,0.0266
U613,S06,1,0.0035
U613,S27,1,0.1196
U613,S48,1,0.1196
U613,S65,1,0.0035
U614,S21,1,0.0128
U614,S27,1,0.0356
U569,S21,1,0.0035
U569,S27,1,0.0356
U841,S06,1,0.0128
U841,S08,1,0.0035
U841,S21,1,0.0128
U841,S27,1,0.1196
U156,S07,1,0.0266
U156,S08,1,0.0000
U156,S21,1,0.0003
U156,S25,1,0.0266
U156,S88,1,0.0035
U106,S06,1,0.0266
U106,S07,1,0.0266
U106,S08,1,0.0128
U106,S112,1,0.0356
U106,S20,1,0.1636
U106,S21,1,0.0356
U106,S25,1,0.1250
U106,S27,1,0.1538
U106,S38,1,0.0128
U106,S62,1,0.1538
U106,S65,1,0.0356
U106,S71,1,0.0266
U106,S88,1,0.1196
U106,S95,1,0.0266
U440,S08,1,0.0003
U440,S21,1,0.0266
U440,S27,1,0.0426
U440,S65,1,0.0035
U268,S06,1,0.0356
U268,S08,1,0.0035
U268,S17,1,0.0356
U268,S21,1,0.0266
U268,S27,1,0.1636
U268,S38,1,0.0065
U268,S65,1,0.0003
U447,S21,1,0.0128
U447,S25,1,0.0128
U527,S20,1,0.0488
U527,S25,1,0.0035
U527,S48,1,0.1538
U642,S08,1,0.0003
U642,S21,1,0.0003
U647,S08,1,0.0003
U647,S21,1,0.0035
U647,S71,1,0.0266
U682,S21,1,0.0035
U685,S21,1,0.0266
U693,S07,1,0.0356
U693,S08,1,0.0065
U693,S112,1,0.0035
U693,S17,1,0.1196
U693,S20,1,0.0266
U693,S25,1,0.0003
U693,S27,1,0.1196
U693,S62,1,0.0488
U693,S65,1,0.0035
U948,S109,1,0.0266
U948,S17,1,0.0488
U948,S20,1,0.0356
U948,S21,1,0.0128
U948,S62,1,0.1196
U948,S88,1,0.0266
U602,S08,1,0.0035
U602,S25,1,0.0266
U602,S27,1,0.1196
U602,S48,1,0.1636
U602,S65,1,0.0128
U606,S21,1,0.0128
U610,S08,1,0.0000
U610,S71,1,0.0128
U999,S06,1,0.0266
U999,S112,1,0.0128
U999,S20,1,0.1196
U999,S21,1,0.0266
U999,S25,1,0.0356
U999,S27,1,0.1538
U999,S38,1,0.0035
U999,S48,1,0.1250
U999,S62,1,0.1538
U999,S71,1,0.0266
U530,S08,1,0.0000
U530,S21,1,0.0128
U76,S112,1,0.0356
U76,S21,1,0.0128
U76,S27,1,0.1636
U76,S38,1,0.0128
U76,S71,1,0.0266
U578,S08,1,0.0035
U578,S21,1,0.0356
U578,S25,1,0.1196
U578,S27,1,0.1538
U578,S71,1,0.0266
U574,S07,1,0.0356
U574,S20,1,0.0356
U574,S21,1,0.0003
U574,S48,1,0.1196
U574,S62,1,0.0128
U574,S65,1,0.0065
U574,S71,1,0.0003
U574,S88,1,0.0003
U584,S06,1,0.0488
U584,S21,1,0.0128
U584,S25,1,0.1196
U584,S27,1,0.1538
U584,S38,1,0.0000
U584,S71,1,0.0128
U476,S112,1,0.1196
U476,S17,1,0.0426
U476,S20,1,0.0356
U476,S25,1,0.0128
U476,S38,1,0.0000
U476,S48,1,0.1196
U476,S62,1,0.1196
U476,S71,1,0.0128
U479,S21,1,0.0035
U146,S21,1,0.0356
U70,S08,1,0.0003
U70,S21,1,0.0266
U70,S25,1,0.0128
U590,S21,1,0.0003
U590,S25,1,0.0128
U590,S48,1,0.0356
U694,S06,1,0.0003
U694,S07,1,0.0128
U694,S17,1,0.0128
U694,S27,1,0.0356
U694,S48,1,0.0356
U694,S71,1,0.0128
U858,S08,1,0.0035
U594,S21,1,0.0035
U594,S71,1,0.0003
U1030,S21,1,0.0035
U766,S08,1,0.0000
U772,S07,1,0.0035
U772,S112,1,0.0000
U772,S20,1,0.0128
U772,S21,1,0.0035
U772,S38,1,0.0003
U772,S48,1,0.0266
U772,S88,1,0.0003
U775,S07,1,0.0065
U775,S08,1,0.0003
U775,S17,1,0.0128
U775,S25,1,0.0035
U775,S27,1,0.0356
U775,S62,1,0.0266
U775,S65,1,0.0035
U775,S87,1,0.0003
U775,S95,1,0.0035
